# Logfile created on 2026-02-09 02:45:52 +0100 by logger.rb/v1.6.0
2026-02-09 02:45:52 +0100: Memory Usage (432856K) : metal5_text has 2 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432984K) : metal5_opc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432984K) : metal5_noqrc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433112K) : metal5_res has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433240K) : metal5_iprobe has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433240K) : metal5_diffprb has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433240K) : radhard_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433368K) : memcap_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433496K) : varicap_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433496K) : flash_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433624K) : intbondvia_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433624K) : intbondmet_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : devbondvia_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : devbondmet_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : devtrench_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : redist_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : graphbot_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : graphtop_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : antvia1_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : antmetal2_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : graphcont_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : siwg_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : siwg_filler has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : siwg_nofill has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : sigrating_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (433752K) : singrating_drw has 0 polygons
